"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 14:14:51 IST 2022","Thu Dec 01 14:15:02 IST 2022","11226","","Validating grade 2 Single order","","Validating grade 2 Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Mon Nov 28 14:18:26 IST 2022","Mon Nov 28 14:18:27 IST 2022","1058","","Validating UKG Single order","","Validating UKG Single order","Verify PID is generated","Verify PID is generated",""
"passed","Mon Nov 28 14:18:33 IST 2022","Mon Nov 28 14:18:40 IST 2022","6193","","Validating UKG Single order","","Validating UKG Single order","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Fri Dec 09 17:52:08 IST 2022","Fri Dec 09 17:52:35 IST 2022","26824","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","log in into oms","log in into oms",""
"passed","Thu Dec 01 14:13:11 IST 2022","Thu Dec 01 14:13:37 IST 2022","26057","","Validating grade 1 Single order","","Validating grade 1 Single order","Verify raise priority option","Verify raise priority option",""
"passed","Wed Dec 14 18:44:24 IST 2022","Wed Dec 14 18:44:32 IST 2022","7979","","Validating grade 4 Single order","","Validating grade 4 Single order","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Thu Dec 08 12:27:36 IST 2022","Thu Dec 08 12:27:43 IST 2022","7216","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"passed","Fri Nov 04 18:22:32 IST 2022","Fri Nov 04 18:24:00 IST 2022","88802","","btlp workflow","","btlp workflow","log in into WMS","log in into WMS",""
"passed","Wed Dec 14 18:47:28 IST 2022","Wed Dec 14 18:47:35 IST 2022","7161","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Fri Dec 09 17:52:55 IST 2022","Fri Dec 09 17:53:02 IST 2022","7307","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"broken","Fri Dec 02 17:06:58 IST 2022","Fri Dec 02 17:10:00 IST 2022","181635","","btlp workflow","","btlp workflow","btlp forward workflow","btlp forward workflow",""
"passed","Thu Dec 01 14:13:37 IST 2022","Thu Dec 01 14:13:42 IST 2022","5071","","Validating grade 1 Single order","","Validating grade 1 Single order","Verify the sum of sku values should match the sub total amount","Verify the sum of sku values should match the sub total amount",""
"passed","Mon Nov 28 14:18:59 IST 2022","Mon Nov 28 14:19:09 IST 2022","9931","","Validating UKG Single order","","Validating UKG Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"broken","Fri Dec 02 17:11:46 IST 2022","Fri Dec 02 17:12:34 IST 2022","48094","","btlp workflow","","btlp workflow","log in into WMS","log in into WMS",""
"passed","Fri Dec 09 17:52:54 IST 2022","Fri Dec 09 17:52:55 IST 2022","545","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify PID is generated","Verify PID is generated",""
"broken","Thu Dec 01 16:39:23 IST 2022","Thu Dec 01 16:39:23 IST 2022","5","","btlp workflow","","btlp workflow","btlp reveres workflow","btlp reveres workflow",""
"passed","Thu Dec 01 13:55:03 IST 2022","Thu Dec 01 13:55:25 IST 2022","21933","","Validating UKG Single order","","Validating UKG Single order","Verify raise priority option","Verify raise priority option",""
"passed","Mon Nov 28 14:19:09 IST 2022","Mon Nov 28 14:19:14 IST 2022","4410","","Validating UKG Single order","","Validating UKG Single order","Verify sales and customer details","Verify sales and customer details",""
"passed","Fri Dec 09 17:52:03 IST 2022","Fri Dec 09 17:52:08 IST 2022","5461","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 08 12:26:59 IST 2022","Thu Dec 08 12:27:04 IST 2022","5048","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Fri Dec 02 17:10:00 IST 2022","Fri Dec 02 17:11:44 IST 2022","104272","","btlp workflow","","btlp workflow","btlp reveres workflow","btlp reveres workflow",""
"passed","Thu Dec 01 14:18:08 IST 2022","Thu Dec 01 14:18:25 IST 2022","16546","","Validating grade 3 Single order","","Validating grade 3 Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Thu Dec 01 14:12:45 IST 2022","Thu Dec 01 14:13:07 IST 2022","22518","","Validating grade 1 Single order","","Validating grade 1 Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Fri Dec 09 17:53:39 IST 2022","Fri Dec 09 17:53:44 IST 2022","4623","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify sales and customer details","Verify sales and customer details",""
"broken","Thu Dec 01 14:18:28 IST 2022","Thu Dec 01 14:18:35 IST 2022","7116","","Validating grade 3 Single order","","Validating grade 3 Single order","Verify raise priority option","Verify raise priority option",""
"passed","Thu Dec 01 14:17:35 IST 2022","Thu Dec 01 14:17:36 IST 2022","1071","","Validating grade 3 Single order","","Validating grade 3 Single order","Verify PID is generated","Verify PID is generated",""
"passed","Thu Dec 08 12:28:12 IST 2022","Thu Dec 08 12:28:16 IST 2022","4375","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify sales and customer details","Verify sales and customer details",""
"passed","Thu Dec 01 13:54:48 IST 2022","Thu Dec 01 13:55:00 IST 2022","12103","","Validating UKG Single order","","Validating UKG Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Thu Dec 01 14:14:33 IST 2022","Thu Dec 01 14:14:37 IST 2022","4884","","Validating grade 2 Single order","","Validating grade 2 Single order","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"unknown","Fri Nov 18 15:16:20 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1668764780087","","Verify OMS test cases","","Verify OMS test cases","E2E flow for SD card","E2E flow for SD card",""
"passed","Mon Nov 28 14:19:33 IST 2022","Mon Nov 28 14:19:38 IST 2022","5065","","Validating UKG Single order","","Validating UKG Single order","Verify the sum of sku values should match the sub total amount","Verify the sum of sku values should match the sub total amount",""
"passed","Wed Dec 14 18:46:41 IST 2022","Wed Dec 14 18:46:47 IST 2022","6069","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 01 13:54:20 IST 2022","Thu Dec 01 13:54:24 IST 2022","4105","","Validating UKG Single order","","Validating UKG Single order","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"passed","Thu Dec 08 12:27:43 IST 2022","Thu Dec 08 12:27:51 IST 2022","7478","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Wed Dec 14 18:44:45 IST 2022","Wed Dec 14 18:44:52 IST 2022","6454","","Validating grade 4 Single order","","Validating grade 4 Single order","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Thu Dec 08 18:36:49 IST 2022","Thu Dec 08 18:36:53 IST 2022","3549","","btlp workflow","","btlp workflow","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 01 14:15:40 IST 2022","Thu Dec 01 14:17:09 IST 2022","89223","","Validating grade 3 Single order","","Validating grade 3 Single order","log in into oms","log in into oms",""
"passed","Wed Nov 30 11:57:03 IST 2022","Wed Nov 30 11:57:08 IST 2022","5081","","Validating UKG Single order","","Validating UKG Single order","Verify the sum of sku values should match the sub total amount","Verify the sum of sku values should match the sub total amount",""
"passed","Thu Dec 01 13:53:21 IST 2022","Thu Dec 01 13:53:25 IST 2022","4132","","Validating UKG Single order","","Validating UKG Single order","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 01 14:12:25 IST 2022","Thu Dec 01 14:12:45 IST 2022","20117","","Validating grade 1 Single order","","Validating grade 1 Single order","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"passed","Thu Dec 01 14:11:09 IST 2022","Thu Dec 01 14:11:14 IST 2022","4888","","Validating grade 1 Single order","","Validating grade 1 Single order","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"unknown","Thu Nov 24 15:58:47 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1669285727446","","Validating UKG Single order","","Validating UKG Single order","Verify the Shipemnt skus","Verify the Shipemnt skus",""
"passed","Thu Dec 01 14:13:44 IST 2022","Thu Dec 01 14:13:49 IST 2022","4712","","Validating grade 2 Single order","","Validating grade 2 Single order","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 08 12:27:30 IST 2022","Thu Dec 08 12:27:35 IST 2022","5634","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Thu Dec 01 14:14:37 IST 2022","Thu Dec 01 14:14:51 IST 2022","13530","","Validating grade 2 Single order","","Validating grade 2 Single order","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"passed","Thu Dec 01 14:13:49 IST 2022","Thu Dec 01 14:14:19 IST 2022","29645","","Validating grade 2 Single order","","Validating grade 2 Single order","log in into oms","log in into oms",""
"passed","Thu Dec 01 16:39:15 IST 2022","Thu Dec 01 16:39:20 IST 2022","4733","","btlp workflow","","btlp workflow","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 01 14:17:47 IST 2022","Thu Dec 01 14:18:08 IST 2022","20559","","Validating grade 3 Single order","","Validating grade 3 Single order","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"passed","Thu Dec 08 12:27:04 IST 2022","Thu Dec 08 12:27:30 IST 2022","25420","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","log in into oms","log in into oms",""
"passed","Thu Dec 01 14:17:09 IST 2022","Thu Dec 01 14:17:35 IST 2022","25821","","Validating grade 3 Single order","","Validating grade 3 Single order","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Wed Dec 14 18:44:52 IST 2022","Wed Dec 14 18:44:58 IST 2022","6251","","Validating grade 4 Single order","","Validating grade 4 Single order","Verify sales and customer details","Verify sales and customer details",""
"passed","Thu Dec 08 12:27:35 IST 2022","Thu Dec 08 12:27:36 IST 2022","544","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify PID is generated","Verify PID is generated",""
"passed","Thu Dec 01 14:18:25 IST 2022","Thu Dec 01 14:18:28 IST 2022","3411","","Validating grade 3 Single order","","Validating grade 3 Single order","Verify sales and customer details","Verify sales and customer details",""
"passed","Thu Dec 01 14:14:19 IST 2022","Thu Dec 01 14:14:27 IST 2022","8673","","Validating grade 2 Single order","","Validating grade 2 Single order","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Thu Dec 01 13:54:19 IST 2022","Thu Dec 01 13:54:20 IST 2022","543","","Validating UKG Single order","","Validating UKG Single order","Verify PID is generated","Verify PID is generated",""
"passed","Thu Dec 01 14:14:27 IST 2022","Thu Dec 01 14:14:28 IST 2022","564","","Validating grade 2 Single order","","Validating grade 2 Single order","Verify PID is generated","Verify PID is generated",""
"passed","Thu Dec 08 12:28:16 IST 2022","Thu Dec 08 12:28:39 IST 2022","22557","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify raise priority option","Verify raise priority option",""
"passed","Wed Dec 14 18:46:47 IST 2022","Wed Dec 14 18:47:13 IST 2022","26136","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","log in into oms","log in into oms",""
"passed","Wed Nov 23 17:16:17 IST 2022","Wed Nov 23 17:16:20 IST 2022","3113","","Validating UKG Single order","","Validating UKG Single order","Verify the sales skus","Verify the sales skus",""
"passed","Fri Nov 04 18:09:28 IST 2022","Fri Nov 04 18:11:10 IST 2022","102545","","btlp workflow","","btlp workflow","btlp reveres workflow","btlp reveres workflow",""
"passed","Wed Dec 14 18:47:13 IST 2022","Wed Dec 14 18:47:19 IST 2022","6100","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Thu Dec 01 13:53:25 IST 2022","Thu Dec 01 13:53:54 IST 2022","28948","","Validating UKG Single order","","Validating UKG Single order","log in into oms","log in into oms",""
"passed","Mon Nov 28 14:17:58 IST 2022","Mon Nov 28 14:18:22 IST 2022","23643","","Validating UKG Single order","","Validating UKG Single order","log in into oms","log in into oms",""
"passed","Thu Dec 01 14:13:07 IST 2022","Thu Dec 01 14:13:11 IST 2022","3529","","Validating grade 1 Single order","","Validating grade 1 Single order","Verify sales and customer details","Verify sales and customer details",""
"passed","Fri Nov 04 18:06:20 IST 2022","Fri Nov 04 18:06:23 IST 2022","3076","","btlp workflow","","btlp workflow","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 01 14:17:42 IST 2022","Thu Dec 01 14:17:47 IST 2022","5434","","Validating grade 3 Single order","","Validating grade 3 Single order","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Thu Dec 01 14:15:06 IST 2022","Thu Dec 01 14:15:33 IST 2022","27516","","Validating grade 2 Single order","","Validating grade 2 Single order","Verify raise priority option","Verify raise priority option",""
"passed","Mon Nov 28 14:19:14 IST 2022","Mon Nov 28 14:19:33 IST 2022","18923","","Validating UKG Single order","","Validating UKG Single order","Verify raise priority option","Verify raise priority option",""
"broken","Thu Dec 08 18:37:02 IST 2022","Thu Dec 08 18:37:02 IST 2022","5","","btlp workflow","","btlp workflow","btlp reveres workflow","btlp reveres workflow",""
"passed","Fri Dec 02 17:06:53 IST 2022","Fri Dec 02 17:06:58 IST 2022","5656","","btlp workflow","","btlp workflow","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Thu Dec 01 13:54:24 IST 2022","Thu Dec 01 13:54:28 IST 2022","3844","","Validating UKG Single order","","Validating UKG Single order","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Wed Nov 23 17:16:13 IST 2022","Wed Nov 23 17:16:17 IST 2022","3635","","Validating UKG Single order","","Validating UKG Single order","Verify the shipment skus","Verify the shipment skus",""
"passed","Thu Dec 01 13:54:28 IST 2022","Thu Dec 01 13:54:48 IST 2022","20268","","Validating UKG Single order","","Validating UKG Single order","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"passed","Wed Dec 14 18:47:51 IST 2022","Wed Dec 14 18:47:56 IST 2022","5834","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verify sales and customer details","Verify sales and customer details",""
"passed","Wed Dec 14 18:44:32 IST 2022","Wed Dec 14 18:44:45 IST 2022","12903","","Validating grade 4 Single order","","Validating grade 4 Single order","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"passed","Wed Dec 14 18:43:34 IST 2022","Wed Dec 14 18:43:40 IST 2022","5876","","Validating grade 4 Single order","","Validating grade 4 Single order","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Fri Dec 09 17:53:02 IST 2022","Fri Dec 09 17:53:09 IST 2022","6977","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Wed Dec 14 18:47:56 IST 2022","Wed Dec 14 18:48:15 IST 2022","18411","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verify raise priority option","Verify raise priority option",""
"passed","Thu Dec 08 12:27:51 IST 2022","Thu Dec 08 12:28:05 IST 2022","14399","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"skipped","Fri Nov 18 15:12:39 IST 2022","Fri Nov 18 15:12:39 IST 2022","0","","Verify OMS test cases","","Verify OMS test cases","E2E flow for SD card","E2E flow for SD card",""
"broken","Mon Nov 28 19:03:03 IST 2022","Mon Nov 28 19:03:05 IST 2022","1916","","btlp workflow","","btlp workflow","btlp forward workflow","btlp forward workflow",""
"passed","Thu Dec 01 14:14:28 IST 2022","Thu Dec 01 14:14:33 IST 2022","4863","","Validating grade 2 Single order","","Validating grade 2 Single order","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"broken","Thu Nov 24 15:58:30 IST 2022","Thu Nov 24 15:58:36 IST 2022","5324","","Validating UKG Single order","","Validating UKG Single order","Verify the Addon Items Skus","Verify the Addon Items Skus",""
"passed","Thu Dec 01 14:11:49 IST 2022","Thu Dec 01 14:12:13 IST 2022","24057","","Validating grade 1 Single order","","Validating grade 1 Single order","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Wed Dec 14 18:44:09 IST 2022","Wed Dec 14 18:44:16 IST 2022","7411","","Validating grade 4 Single order","","Validating grade 4 Single order","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Thu Dec 01 14:12:14 IST 2022","Thu Dec 01 14:12:20 IST 2022","5506","","Validating grade 1 Single order","","Validating grade 1 Single order","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"passed","Thu Dec 01 14:17:36 IST 2022","Thu Dec 01 14:17:42 IST 2022","5734","","Validating grade 3 Single order","","Validating grade 3 Single order","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"passed","Thu Dec 01 14:11:14 IST 2022","Thu Dec 01 14:11:49 IST 2022","35585","","Validating grade 1 Single order","","Validating grade 1 Single order","log in into oms","log in into oms",""
"broken","Thu Dec 01 16:39:20 IST 2022","Thu Dec 01 16:39:23 IST 2022","2832","","btlp workflow","","btlp workflow","btlp forward workflow","btlp forward workflow",""
"passed","Fri Nov 04 18:06:23 IST 2022","Fri Nov 04 18:09:28 IST 2022","184227","","btlp workflow","","btlp workflow","btlp forward workflow","btlp forward workflow",""
"passed","Fri Dec 09 17:53:09 IST 2022","Fri Dec 09 17:53:33 IST 2022","23783","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"passed","Thu Dec 01 13:55:00 IST 2022","Thu Dec 01 13:55:03 IST 2022","3364","","Validating UKG Single order","","Validating UKG Single order","Verify sales and customer details","Verify sales and customer details",""
"passed","Thu Dec 01 14:12:20 IST 2022","Thu Dec 01 14:12:25 IST 2022","4768","","Validating grade 1 Single order","","Validating grade 1 Single order","Verify the sales skus and skus names","Verify the sales skus and skus names",""
"passed","Wed Dec 14 18:47:19 IST 2022","Wed Dec 14 18:47:20 IST 2022","557","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verify PID is generated","Verify PID is generated",""
"broken","Wed Dec 14 18:47:35 IST 2022","Wed Dec 14 18:47:42 IST 2022","7028","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"passed","Tue Nov 22 18:22:54 IST 2022","Tue Nov 22 18:23:04 IST 2022","9843","","Validating UKG Single order","","Validating UKG Single order","Verifying add-on line items","Verifying add-on line items",""
"broken","Thu Dec 08 18:36:53 IST 2022","Thu Dec 08 18:37:02 IST 2022","9060","","btlp workflow","","btlp workflow","btlp forward workflow","btlp forward workflow",""
"passed","Thu Dec 01 14:15:02 IST 2022","Thu Dec 01 14:15:06 IST 2022","3676","","Validating grade 2 Single order","","Validating grade 2 Single order","Verify sales and customer details","Verify sales and customer details",""
"passed","Wed Nov 23 19:18:41 IST 2022","Wed Nov 23 19:18:41 IST 2022","0","","Validating UKG Single order","","Validating UKG Single order","Verify the add on line items","Verify the add on line items",""
"passed","Thu Dec 01 13:53:54 IST 2022","Thu Dec 01 13:54:19 IST 2022","25100","","Validating UKG Single order","","Validating UKG Single order","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Mon Nov 28 14:17:53 IST 2022","Mon Nov 28 14:17:58 IST 2022","4662","","Validating UKG Single order","","Validating UKG Single order","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Fri Dec 09 17:52:35 IST 2022","Fri Dec 09 17:52:54 IST 2022","19277","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Wed Dec 14 18:47:42 IST 2022","Wed Dec 14 18:47:51 IST 2022","8470","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Thu Dec 08 12:28:05 IST 2022","Thu Dec 08 12:28:12 IST 2022","6651","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Wed Dec 14 18:47:20 IST 2022","Wed Dec 14 18:47:28 IST 2022","8283","","Validating Aakash Byjus Courses single order for 8th standard","","Validating Aakash Byjus Courses single order for 8th standard","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"passed","Fri Dec 09 17:53:44 IST 2022","Fri Dec 09 17:54:03 IST 2022","19007","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verify raise priority option","Verify raise priority option",""
"passed","Mon Nov 28 14:18:40 IST 2022","Mon Nov 28 14:18:59 IST 2022","19789","","Validating UKG Single order","","Validating UKG Single order","Verifying changing the status to Confirmed and Verify the order status history","Verifying changing the status to Confirmed and Verify the order status history",""
"passed","Mon Nov 28 19:03:00 IST 2022","Mon Nov 28 19:03:03 IST 2022","3257","","btlp workflow","","btlp workflow","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Wed Dec 14 18:44:16 IST 2022","Wed Dec 14 18:44:24 IST 2022","8041","","Validating grade 4 Single order","","Validating grade 4 Single order","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"passed","Thu Dec 01 14:15:36 IST 2022","Thu Dec 01 14:15:40 IST 2022","4521","","Validating grade 3 Single order","","Validating grade 3 Single order","Adding json to collections for generating the Order Id","Adding json to collections for generating the Order Id",""
"passed","Mon Nov 28 14:18:22 IST 2022","Mon Nov 28 14:18:26 IST 2022","4576","","Validating UKG Single order","","Validating UKG Single order","Verifying the Sales order Id details","Verifying the Sales order Id details",""
"passed","Wed Dec 14 18:43:40 IST 2022","Wed Dec 14 18:44:09 IST 2022","29219","","Validating grade 4 Single order","","Validating grade 4 Single order","log in into oms","log in into oms",""
"skipped","Fri Nov 18 15:12:39 IST 2022","Fri Nov 18 15:12:39 IST 2022","0","","Verify OMS test cases","","Verify OMS test cases","","",""
"passed","Fri Dec 09 17:53:33 IST 2022","Fri Dec 09 17:53:39 IST 2022","6610","","Validating Byjus classes single order for 6th standard","","Validating Byjus classes single order for 6th standard","Verifying the order details and payment values from UI are equal to the values in Kart collection","Verifying the order details and payment values from UI are equal to the values in Kart collection",""
"passed","Thu Dec 01 14:12:13 IST 2022","Thu Dec 01 14:12:14 IST 2022","1051","","Validating grade 1 Single order","","Validating grade 1 Single order","Verify PID is generated","Verify PID is generated",""
"passed","Wed Dec 14 18:44:58 IST 2022","Wed Dec 14 18:45:16 IST 2022","18381","","Validating grade 4 Single order","","Validating grade 4 Single order","Verify raise priority option","Verify raise priority option",""
"passed","Mon Nov 28 14:18:27 IST 2022","Mon Nov 28 14:18:33 IST 2022","6126","","Validating UKG Single order","","Validating UKG Single order","Verify the shipment skus and skus name","Verify the shipment skus and skus name",""
"broken","Mon Nov 28 19:03:05 IST 2022","Mon Nov 28 19:03:05 IST 2022","5","","btlp workflow","","btlp workflow","btlp reveres workflow","btlp reveres workflow",""
